,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__gamma,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13817100524902343,0.00781678345148733,0.10506200790405273,0.005415689804035788,0.0001,1000000000.0,"{'svc__gamma': 0.0001, 'svc__C': 1000000000.0}",0.9328358208955224,0.9402985074626866,0.9527363184079602,0.9527363184079602,0.9378109452736318,0.9432835820895523,0.00808362030312037,2
1,0.369296932220459,0.0035777177858866056,0.15252466201782228,0.0020856650135160897,1e-08,10000.0,"{'svc__gamma': 1e-08, 'svc__C': 10000.0}",0.2263681592039801,0.23383084577114427,0.20149253731343283,0.22139303482587064,0.263681592039801,0.22935323383084577,0.02023353174891817,8
2,0.31013002395629885,0.0010553623716181174,0.1503654956817627,0.008343314102826755,1000.0,1000000000.0,"{'svc__gamma': 1000.0, 'svc__C': 1000000000.0}",0.06965174129353234,0.09203980099502487,0.09950248756218906,0.08706467661691543,0.07711442786069651,0.08507462686567163,0.010600634702817174,10
3,0.12004938125610351,0.0015134291032980751,0.10471873283386231,0.0018088931032667031,1e-05,100000.0,"{'svc__gamma': 1e-05, 'svc__C': 100000.0}",0.9303482587064676,0.9477611940298507,0.9328358208955224,0.9427860696517413,0.9427860696517413,0.9393034825870646,0.0066002483390157065,4
4,0.122501802444458,0.0015108843518724744,0.10355515480041504,0.0018227050530444722,0.001,100000.0,"{'svc__gamma': 0.001, 'svc__C': 100000.0}",0.9328358208955224,0.9477611940298507,0.9552238805970149,0.9502487562189055,0.945273631840796,0.946268656716418,0.007479251929538744,1
5,0.37104344367980957,0.0025899655030077145,0.15406422615051268,0.004006219847174254,1e-06,10.0,"{'svc__gamma': 1e-06, 'svc__C': 10.0}",0.2263681592039801,0.23383084577114427,0.19900497512437812,0.22139303482587064,0.263681592039801,0.2288557213930348,0.020931028823843414,9
6,0.12338719367980958,0.005370146838705377,0.1035158634185791,0.0018154945193549345,0.0001,10000.0,"{'svc__gamma': 0.0001, 'svc__C': 10000.0}",0.9353233830845771,0.9427860696517413,0.9353233830845771,0.9427860696517413,0.9427860696517413,0.9398009950248756,0.0036559548399749033,3
7,0.13882365226745605,0.0023128349867390344,0.11739611625671387,0.0019472087418596813,1e-08,1000000.0,"{'svc__gamma': 1e-08, 'svc__C': 1000000.0}",0.9154228855721394,0.9253731343283582,0.8905472636815921,0.9104477611940298,0.9154228855721394,0.9114427860696518,0.011518245674418125,6
8,0.12763419151306152,0.004773670734367081,0.13486828804016113,0.060600239045506855,1e-07,10000000000.0,"{'svc__gamma': 1e-07, 'svc__C': 10000000000.0}",0.9253731343283582,0.9328358208955224,0.9253731343283582,0.9402985074626866,0.945273631840796,0.9338308457711444,0.007960199004975136,5
9,0.370926570892334,0.0014054654463037967,0.15934381484985352,0.003608737563196336,1e-09,0.01,"{'svc__gamma': 1e-09, 'svc__C': 0.01}",0.6517412935323383,0.6393034825870647,0.6119402985074627,0.6268656716417911,0.6019900497512438,0.6263681592039801,0.017965641875888352,7
